   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
85              ,  353 39 25 ,   94 16 03,      6.251,      0.000,      0.000,       -0.689,        6.195,     -0.465
86              ,  350 44 40 ,  100 37 40,      6.384,      0.000,      0.000,       -1.009,        6.193,     -1.177
87              ,  339 12 12 ,  101 11 04,      6.769,      0.000,      0.000,       -2.358,        6.208,     -1.313
88              ,  336 32 04 ,   94 36 56,      6.802,      0.000,      0.000,       -2.700,        6.219,     -0.547
89              ,  339 05 07 ,   83 14 14,      6.717,      0.000,      0.000,       -2.381,        6.230,      0.791
90              ,  336 46 41 ,   73 58 25,      7.072,      0.000,      0.000,       -2.680,        6.247,      1.953
91              ,  339 16 13 ,   66 09 51,      7.308,      0.000,      0.000,       -2.366,        6.252,      2.953
92              ,  336 52 40 ,   58 17 46,      8.004,      0.000,      0.000,       -2.674,        6.263,      4.207
93              ,  339 27 11 ,   52 42 03,      8.413,      0.000,      0.000,       -2.349,        6.267,      5.098
94              ,  336 41 58 ,   48 49 44,      9.080,      0.000,      0.000,       -2.703,        6.277,      5.977
95              ,  339 42 24 ,   44 45 43,      9.507,      0.000,      0.000,       -2.322,        6.279,      6.750
96              ,  336 58 22 ,   41 31 00,     10.310,      0.000,      0.000,       -2.673,        6.289,      7.720
97              ,  317 15 53 ,  104 46 30,      4.885,      0.000,      0.000,       -3.205,        3.469,     -1.246
98              ,  312 42 42 ,   98 52 21,      4.427,      0.000,      0.000,       -3.214,        2.967,     -0.683
99              ,  317 43 24 ,   87 32 34,      4.758,      0.000,      0.000,       -3.198,        3.517,      0.204
100             ,  313 24 25 ,   77 44 57,      4.516,      0.000,      0.000,       -3.206,        3.033,      0.958
101             ,  317 10 52 ,   65 45 41,      5.164,      0.000,      0.000,       -3.201,        3.454,      2.120
102             ,  313 33 21 ,   55 15 33,      5.380,      0.000,      0.000,       -3.204,        3.046,      3.066
103             ,  317 54 29 ,   48 23 38,      6.356,      0.000,      0.000,       -3.186,        3.527,      4.221
104             ,  313 48 22 ,   41 36 26,      6.674,      0.000,      0.000,       -3.198,        3.067,      4.990
105             ,  318 04 03 ,   36 59 33,      7.899,      0.000,      0.000,       -3.176,        3.536,      6.309
106             ,  314 04 45 ,   33 05 17,      8.137,      0.000,      0.000,       -3.191,        3.090,      6.817
107             ,  317 21 23 ,   31 14 40,      9.028,      0.000,      0.000,       -3.172,        3.445,      7.718
108             ,  300 43 58 ,   25 47 44,      8.582,      0.000,      0.000,       -3.210,        1.908,      7.727
109             ,  294 51 59 ,   28 34 25,      7.420,      0.000,      0.000,       -3.220,        1.492,      6.516
110             ,  300 32 10 ,   32 54 25,      6.862,      0.000,      0.000,       -3.211,        1.894,      5.761
111             ,  293 46 32 ,   36 37 11,      5.898,      0.000,      0.000,       -3.219,        1.418,      4.734
112             ,  301 00 38 ,   44 30 12,      5.350,      0.000,      0.000,       -3.214,        1.932,      3.816
113             ,  293 55 13 ,   50 58 49,      4.541,      0.000,      0.000,       -3.225,        1.430,      2.859
114             ,  300 35 00 ,   60 50 46,      4.284,      0.000,      0.000,       -3.221,        1.904,      2.087
115             ,  293 39 01 ,   71 30 32,      3.717,      0.000,      0.000,       -3.229,        1.414,      1.179
116             ,  300 58 16 ,   80 18 33,      3.812,      0.000,      0.000,       -3.222,        1.934,      0.642
117             ,  293 29 30 ,   95 08 03,      3.538,      0.000,      0.000,       -3.232,        1.405,     -0.317
118             ,  301 07 43 ,  102 31 10,      3.860,      0.000,      0.000,       -3.225,        1.948,     -0.837
119             ,  292 55 50 ,  109 33 49,      3.734,      0.000,      0.000,       -3.240,        1.371,     -1.250
120             ,  275 37 16 ,  110 32 06,      3.507,      0.000,      0.000,       -3.269,        0.322,     -1.230
121             ,  267 08 27 ,  110 32 04,      3.503,      0.000,      0.000,       -3.277,       -0.164,     -1.229
122             ,  275 47 45 ,   96 31 39,      3.301,      0.000,      0.000,       -3.263,        0.331,     -0.375
123             ,  267 00 51 ,   82 45 22,      3.294,      0.000,      0.000,       -3.263,       -0.170,      0.415
124             ,  276 16 02 ,   69 25 21,      3.496,      0.000,      0.000,       -3.254,        0.357,      1.229
125             ,  266 57 07 ,   55 55 04,      3.933,      0.000,      0.000,       -3.252,       -0.173,      2.204
