Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
137             ,  100 47 19 ,   57 37 21,      3.608,      0.000,      0.000,        2.994,       -0.570,      1.932
138             ,  109 01 20 ,   70 18 27,      3.352,      0.000,      0.000,        2.984,       -1.029,      1.130
139             ,  100 54 00 ,   83 05 04,      3.057,      0.000,      0.000,        2.980,       -0.574,      0.368
140             ,  108 57 57 ,   97 31 52,      3.172,      0.000,      0.000,        2.974,       -1.022,     -0.416
141             ,   99 19 43 ,  114 30 29,      3.303,      0.000,      0.000,        2.966,       -0.487,     -1.370
142             ,  125 47 38 ,  110 44 38,      3.901,      0.000,      0.000,        2.959,       -2.134,     -1.382
143             ,  132 01 16 ,  100 43 32,      4.057,      0.000,      0.000,        2.961,       -2.668,     -0.755
144             ,  125 39 19 ,   86 29 58,      3.656,      0.000,      0.000,        2.965,       -2.127,      0.223
145             ,  131 33 26 ,   76 29 32,      4.079,      0.000,      0.000,        2.968,       -2.631,      0.953
146             ,  125 27 14 ,   62 49 12,      4.099,      0.000,      0.000,        2.971,       -2.115,      1.873
147             ,  131 48 59 ,   53 09 03,      4.982,      0.000,      0.000,        2.971,       -2.658,      2.988
148             ,  125 00 29 ,   43 14 58,      5.305,      0.000,      0.000,        2.977,       -2.085,      3.864
149             ,  131 13 41 ,   37 54 52,      6.443,      0.000,      0.000,        2.978,       -2.609,      5.083
150             ,  125 30 00 ,   32 05 31,      6.892,      0.000,      0.000,        2.981,       -2.126,      5.839
151             ,  131 34 18 ,   29 13 51,      8.174,      0.000,      0.000,        2.986,       -2.649,      7.133
152             ,  126 19 35 ,   25 43 50,      8.569,      0.000,      0.000,        2.997,       -2.204,      7.719
153             ,  141 39 29 ,   32 23 39,      9.035,      0.000,      0.000,        3.003,       -3.796,      7.629
154             ,  144 26 00 ,   37 41 42,      8.495,      0.000,      0.000,        3.021,       -4.226,      6.722
155             ,  141 27 41 ,   39 53 10,      7.480,      0.000,      0.000,        2.989,       -3.752,      5.740
156             ,  144 08 52 ,   46 56 40,      7.018,      0.000,      0.000,        3.003,       -4.156,      4.791
157             ,  141 12 56 ,   50 35 21,      6.156,      0.000,      0.000,        2.979,       -3.707,      3.908
158             ,  144 14 50 ,   58 55 28,      5.975,      0.000,      0.000,        2.990,       -4.153,      3.084
159             ,  141 18 34 ,   64 41 28,      5.264,      0.000,      0.000,        2.975,       -3.714,      2.250
160             ,  144 52 14 ,   73 40 15,      5.381,      0.000,      0.000,        2.971,       -4.223,      1.513
161             ,  141 48 20 ,   81 07 08,      4.853,      0.000,      0.000,        2.965,       -3.768,      0.749
162             ,  144 59 27 ,   89 50 22,      5.154,      0.000,      0.000,        2.957,       -4.222,      0.014
163             ,  141 52 36 ,   94 48 01,      4.803,      0.000,      0.000,        2.955,       -3.766,     -0.402
164             ,  144 10 42 ,  103 53 27,      5.184,      0.000,      0.000,        2.945,       -4.081,     -1.245
165             ,   47 23 41 ,  104 05 59,      5.274,      0.000,      0.000,        3.765,        3.462,     -1.285
166             ,   47 32 33 ,   95 41 47,      5.130,      0.000,      0.000,        3.766,        3.446,     -0.509
167             ,   47 32 03 ,   85 07 02,      5.127,      0.000,      0.000,        3.768,        3.449,      0.436
168             ,   47 26 12 ,   74 32 13,      5.312,      0.000,      0.000,        3.771,        3.463,      1.416
169             ,   47 26 21 ,   62 39 29,      5.765,      0.000,      0.000,        3.772,        3.464,      2.648
170             ,   47 26 23 ,   52 30 23,      6.460,      0.000,      0.000,        3.775,        3.466,      3.932
171             ,   47 26 19 ,   44 13 28,      7.360,      0.000,      0.000,        3.781,        3.472,      5.274
172             ,   47 26 27 ,   38 08 58,      8.323,      0.000,      0.000,        3.787,        3.477,      6.545
173             ,   47 26 22 ,   33 40 26,      9.283,      0.000,      0.000,        3.791,        3.481,      7.726
174             ,   64 17 17 ,   28 32 42,      8.740,      0.000,      0.000,        3.763,        1.812,      7.677
175             ,   68 18 09 ,   30 51 29,      7.884,      0.000,      0.000,        3.757,        1.495,      6.768
176             ,   63 48 58 ,   36 12 42,      7.103,      0.000,      0.000,        3.766,        1.852,      5.731
177             ,   68 08 10 ,   42 03 35,      6.048,      0.000,      0.000,        3.760,        1.509,      4.490
178             ,   63 58 06 ,   50 13 51,      5.449,      0.000,      0.000,        3.764,        1.838,      3.486
179             ,   67 51 28 ,   58 02 27,      4.781,      0.000,      0.000,        3.757,        1.529,      2.530
180             ,   64 17 53 ,   68 11 22,      4.499,      0.000,      0.000,        3.764,        1.812,      1.672
181             ,   68 34 40 ,   77 46 51,      4.129,      0.000,      0.000,        3.757,        1.474,      0.874
