   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
105             ,  266 45 17 ,   90 07 12,      3.653,      0.000,      0.000,       -3.647,       -0.207,     -0.008
106             ,  271 24 37 ,   97 17 11,      3.679,      0.000,      0.000,       -3.648,        0.090,     -0.467
107             ,  265 51 42 ,  106 26 22,      3.810,      0.000,      0.000,       -3.645,       -0.264,     -1.078
108             ,  269 35 38 ,  105 16 09,      3.777,      0.000,      0.000,       -3.644,       -0.026,     -0.995
109             ,  284 54 44 ,   22 38 32,      8.411,      0.000,      0.000,       -3.129,        0.833,      7.763
110             ,  296 15 44 ,   19 20 11,      8.231,      0.000,      0.000,       -2.444,        1.206,      7.767
111             ,  271 39 43 ,   16 54 21,      8.101,      0.000,      0.000,       -2.355,        0.068,      7.751
112             ,  271 44 04 ,   11 35 52,      7.909,      0.000,      0.000,       -1.589,        0.048,      7.747
113             ,  300 44 33 ,   11 39 05,      7.918,      0.000,      0.000,       -1.374,        0.817,      7.755
114             ,  337 10 42 ,   11 43 54,      7.940,      0.000,      0.000,       -0.626,        1.488,      7.774
115             ,  293 44 35 ,    5 26 31,      7.787,      0.000,      0.000,       -0.676,        0.297,      7.752
116             ,  308 56 14 ,  358 58 09,      7.752,      0.000,      0.000,        0.108,       -0.088,      7.751
117             ,   17 25 53 ,    6 32 02,      7.811,      0.000,      0.000,        0.266,        0.848,      7.761
118             ,   32 59 45 ,   13 26 27,      7.987,      0.000,      0.000,        1.011,        1.557,      7.768
119             ,   66 54 32 ,   13 26 30,      7.976,      0.000,      0.000,        1.705,        0.727,      7.757
120             ,   92 35 14 ,   13 26 31,      7.960,      0.000,      0.000,        1.848,       -0.084,      7.742
121             ,   92 35 09 ,    6 50 02,      7.802,      0.000,      0.000,        0.927,       -0.042,      7.747
122             ,   92 35 04 ,    0 33 29,      7.753,      0.000,      0.000,        0.075,       -0.003,      7.753
123             ,  169 11 14 ,    6 57 49,      7.795,      0.000,      0.000,        0.177,       -0.928,      7.737
124             ,  211 53 46 ,    3 55 56,      7.766,      0.000,      0.000,       -0.281,       -0.452,      7.747
125             ,  225 29 02 ,   12 25 15,      7.925,      0.000,      0.000,       -1.215,       -1.195,      7.739
126             ,  255 33 42 ,    8 20 18,      7.827,      0.000,      0.000,       -1.099,       -0.283,      7.744
127             ,  262 47 03 ,   14 01 46,      7.987,      0.000,      0.000,       -1.921,       -0.243,      7.748
128             ,  248 13 47 ,   21 41 58,      8.331,      0.000,      0.000,       -2.861,       -1.142,      7.741
129             ,  240 02 37 ,   27 58 47,      8.029,      0.000,      0.000,       -3.264,       -1.881,      7.090
130             ,  236 30 55 ,   31 45 00,      6.392,      0.000,      0.000,       -2.805,       -1.856,      5.436
131             ,  230 22 48 ,   23 44 42,      7.343,      0.000,      0.000,       -2.277,       -1.885,      6.721
132             ,  221 02 25 ,   20 04 44,      7.279,      0.000,      0.000,       -1.641,       -1.885,      6.837
