   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
141             ,   83 29 09 ,   20 04 28,      7.685,      0.000,      0.000,        2.621,        0.299,      7.218
142             ,   74 20 53 ,   19 28 31,      8.148,      0.000,      0.000,        2.616,        0.733,      7.682
143             ,  107 33 11 ,   19 28 44,      8.224,      0.000,      0.000,        2.615,       -0.827,      7.753
144             ,  117 04 04 ,   23 20 37,      7.380,      0.000,      0.000,        2.604,       -1.331,      6.776
145             ,  107 37 28 ,   26 04 37,      6.232,      0.000,      0.000,        2.611,       -0.829,      5.598
146             ,  117 18 56 ,   31 42 44,      5.571,      0.000,      0.000,        2.602,       -1.344,      4.739
147             ,  107 08 21 ,   38 57 49,      4.338,      0.000,      0.000,        2.607,       -0.804,      3.373
148             ,  117 05 47 ,   45 43 50,      4.082,      0.000,      0.000,        2.602,       -1.331,      2.849
149             ,  107 24 49 ,   52 45 16,      3.430,      0.000,      0.000,        2.605,       -0.817,      2.076
150             ,  116 32 10 ,   67 27 07,      3.152,      0.000,      0.000,        2.605,       -1.301,      1.209
151             ,  106 46 36 ,   78 10 49,      2.779,      0.000,      0.000,        2.604,       -0.785,      0.569
152             ,  115 54 34 ,   96 49 34,      2.910,      0.000,      0.000,        2.599,       -1.263,     -0.346
153             ,  108 02 25 ,  112 02 12,      2.951,      0.000,      0.000,        2.601,       -0.847,     -1.107
154             ,  132 50 57 ,  107 20 48,      3.698,      0.000,      0.000,        2.588,       -2.401,     -1.103
155             ,  138 28 14 ,   92 50 38,      3.912,      0.000,      0.000,        2.590,       -2.925,     -0.194
156             ,  132 52 24 ,   80 15 02,      3.585,      0.000,      0.000,        2.590,       -2.404,      0.607
157             ,  137 34 43 ,   68 29 48,      4.126,      0.000,      0.000,        2.590,       -2.834,      1.512
158             ,  133 12 34 ,   57 00 38,      4.238,      0.000,      0.000,        2.591,       -2.434,      2.308
159             ,  137 58 37 ,   51 24 16,      4.943,      0.000,      0.000,        2.586,       -2.870,      3.084
160             ,  133 11 47 ,   42 13 13,      5.288,      0.000,      0.000,        2.591,       -2.433,      3.916
161             ,  138 03 58 ,   38 01 27,      6.286,      0.000,      0.000,        2.588,       -2.881,      4.952
162             ,  133 09 15 ,   32 22 46,      6.636,      0.000,      0.000,        2.592,       -2.431,      5.604
163             ,  138 14 34 ,   29 49 31,      7.805,      0.000,      0.000,        2.585,       -2.896,      6.771
164             ,  133 00 10 ,   24 24 50,      8.576,      0.000,      0.000,        2.592,       -2.418,      7.809
165             ,  137 36 37 ,   26 05 35,      8.725,      0.000,      0.000,        2.587,       -2.834,      7.836
166             ,   46 35 39 ,  103 16 58,      4.804,      0.000,      0.000,        3.397,        3.213,     -1.104
167             ,   46 35 41 ,   94 07 08,      4.691,      0.000,      0.000,        3.400,        3.215,     -0.337
168             ,   46 35 49 ,   83 09 31,      4.718,      0.000,      0.000,        3.403,        3.219,      0.562
169             ,   46 41 59 ,   74 09 30,      4.868,      0.000,      0.000,        3.408,        3.212,      1.329
170             ,   46 45 50 ,   60 41 07,      5.371,      0.000,      0.000,        3.412,        3.208,      2.630
171             ,   46 45 53 ,   51 39 33,      5.979,      0.000,      0.000,        3.417,        3.212,      3.709
172             ,   46 50 16 ,   44 28 50,      6.696,      0.000,      0.000,        3.422,        3.210,      4.778
173             ,   46 54 40 ,   36 57 27,      7.808,      0.000,      0.000,        3.428,        3.207,      6.239
174             ,   47 00 18 ,   31 43 22,      8.930,      0.000,      0.000,        3.435,        3.202,      7.596
175             ,   65 57 14 ,   25 49 56,      8.525,      0.000,      0.000,        3.392,        1.514,      7.673
176             ,   70 25 40 ,   28 34 10,      7.510,      0.000,      0.000,        3.384,        1.203,      6.595
177             ,   66 11 15 ,   32 03 52,      6.984,      0.000,      0.000,        3.392,        1.497,      5.918
178             ,   70 44 09 ,   36 15 48,      6.054,      0.000,      0.000,        3.380,        1.181,      4.881
179             ,   65 55 29 ,   41 55 42,      5.555,      0.000,      0.000,        3.389,        1.514,      4.133
180             ,   70 56 16 ,   48 08 45,      4.801,      0.000,      0.000,        3.380,        1.168,      3.203
181             ,   65 39 55 ,   54 43 50,      4.558,      0.000,      0.000,        3.391,        1.534,      2.632
182             ,   70 30 08 ,   63 15 33,      4.018,      0.000,      0.000,        3.383,        1.198,      1.808
183             ,   65 26 31 ,   73 21 11,      3.883,      0.000,      0.000,        3.384,        1.546,      1.112
184             ,   70 47 27 ,   81 37 36,      3.613,      0.000,      0.000,        3.376,        1.176,      0.526
185             ,   65 09 57 ,   92 06 01,      3.727,      0.000,      0.000,        3.380,        1.564,     -0.137
186             ,   70 31 29 ,  107 07 39,      3.750,      0.000,      0.000,        3.379,        1.195,     -1.104
187             ,   90 49 44 ,  107 01 36,      3.535,      0.000,      0.000,        3.380,       -0.049,     -1.035
188             ,   98 48 48 ,   93 24 51,      3.417,      0.000,      0.000,        3.371,       -0.523,     -0.204
189             ,   90 51 25 ,   78 50 10,      3.445,      0.000,      0.000,        3.380,       -0.051,      0.667
190             ,   98 37 43 ,   66 16 06,      3.729,      0.000,      0.000,        3.375,       -0.512,      1.501
191             ,   90 54 55 ,   56 20 52,      4.056,      0.000,      0.000,        3.376,       -0.054,      2.248
192             ,   98 19 02 ,   47 26 38,      4.625,      0.000,      0.000,        3.371,       -0.493,      3.128
193             ,   91 14 26 ,   40 43 53,      5.176,      0.000,      0.000,        3.376,       -0.073,      3.922
194             ,   98 23 50 ,   35 00 05,      5.951,      0.000,      0.000,        3.377,       -0.498,      4.874
195             ,   91 03 25 ,   30 58 39,      6.569,      0.000,      0.000,        3.381,       -0.062,      5.632
196             ,   99 05 12 ,   26 57 36,      7.540,      0.000,      0.000,        3.375,       -0.540,      6.721
197             ,   91 13 35 ,   23 45 53,      8.395,      0.000,      0.000,        3.382,       -0.072,      7.683
198             ,  119 26 19 ,   26 37 30,      8.624,      0.000,      0.000,        3.366,       -1.899,      7.709
199             ,  122 12 56 ,   30 23 33,      7.851,      0.000,      0.000,        3.360,       -2.117,      6.772
200             ,  119 00 40 ,   33 10 33,      7.028,      0.000,      0.000,        3.363,       -1.865,      5.883
201             ,  121 57 04 ,   39 10 32,      6.274,      0.000,      0.000,        3.363,       -2.097,      4.864
202             ,  118 48 25 ,   43 06 05,      5.624,      0.000,      0.000,        3.367,       -1.852,      4.106
203             ,  122 01 24 ,   49 02 16,      5.249,      0.000,      0.000,        3.361,       -2.102,      3.441
204             ,  119 17 44 ,   55 00 48,      4.709,      0.000,      0.000,        3.365,       -1.888,      2.700
205             ,  122 22 41 ,   65 55 58,      4.360,      0.000,      0.000,        3.362,       -2.132,      1.778
206             ,  119 07 14 ,   75 58 53,      3.961,      0.000,      0.000,        3.357,       -1.870,      0.959
207             ,  122 05 45 ,   86 05 37,      3.970,      0.000,      0.000,        3.355,       -2.104,      0.270
208             ,  119 19 08 ,   98 09 12,      3.887,      0.000,      0.000,        3.355,       -1.884,     -0.551
209             ,  122 22 39 ,  106 36 39,      4.145,      0.000,      0.000,        3.355,       -2.127,     -1.185
210             ,  151 38 12 ,   93 27 47,      4.614,      0.000,      0.000,        2.188,       -4.053,     -0.279
211             ,  157 40 28 ,   85 18 09,      4.379,      0.000,      0.000,        1.658,       -4.037,      0.359
212             ,  152 40 41 ,   73 38 15,      4.732,      0.000,      0.000,        2.084,       -4.034,      1.333
213             ,  157 27 35 ,   61 00 58,      4.978,      0.000,      0.000,        1.669,       -4.022,      2.412
214             ,  152 07 03 ,   53 30 26,      5.655,      0.000,      0.000,        2.126,       -4.018,      3.363
215             ,  156 45 15 ,   45 43 37,      6.077,      0.000,      0.000,        1.717,       -3.998,      4.242
216             ,  152 16 31 ,   40 31 27,      6.947,      0.000,      0.000,        2.100,       -3.996,      5.281
217             ,  157 07 23 ,   35 19 23,      7.457,      0.000,      0.000,        1.676,       -3.972,      6.084
218             ,  152 12 22 ,   32 37 59,      8.328,      0.000,      0.000,        2.094,       -3.973,      7.013
219             ,  157 22 04 ,   28 33 32,      8.951,      0.000,      0.000,        1.647,       -3.949,      7.862
220             ,  171 59 10 ,   27 33 21,      8.613,      0.000,      0.000,        0.555,       -3.945,      7.636
221             ,  178 03 45 ,   29 11 25,      8.098,      0.000,      0.000,        0.134,       -3.947,      7.070
222             ,  171 59 32 ,   31 54 10,      7.566,      0.000,      0.000,        0.557,       -3.959,      6.423
223             ,  178 22 44 ,   36 16 12,      6.710,      0.000,      0.000,        0.112,       -3.968,      5.410
224             ,  172 05 34 ,   43 52 13,      5.810,      0.000,      0.000,        0.554,       -3.988,      4.188
225             ,  177 41 47 ,   48 49 17,      5.307,      0.000,      0.000,        0.161,       -3.991,      3.494
226             ,  172 40 51 ,   55 46 38,      4.881,      0.000,      0.000,        0.514,       -4.003,      2.745
227             ,  177 35 35 ,   65 48 59,      4.405,      0.000,      0.000,        0.169,       -4.015,      1.805
228             ,  173 12 07 ,   74 24 16,      4.207,      0.000,      0.000,        0.480,       -4.023,      1.131
229             ,  177 00 19 ,   82 45 49,      4.065,      0.000,      0.000,        0.211,       -4.027,      0.512
230             ,  172 31 41 ,   93 36 13,      4.087,      0.000,      0.000,        0.530,       -4.044,     -0.257
231             ,  176 32 38 ,  104 41 41,      4.191,      0.000,      0.000,        0.244,       -4.047,     -1.063
232             ,  193 53 00 ,  104 41 06,      4.315,      0.000,      0.000,       -1.001,       -4.052,     -1.094
233             ,  200 41 13 ,   98 45 36,      4.371,      0.000,      0.000,       -1.526,       -4.042,     -0.666
234             ,  194 56 34 ,   86 56 11,      4.181,      0.000,      0.000,       -1.076,       -4.034,      0.223
235             ,  201 08 13 ,   78 02 30,      4.410,      0.000,      0.000,       -1.556,       -4.024,      0.914
236             ,  195 17 54 ,   69 02 13,      4.460,      0.000,      0.000,       -1.099,       -4.017,      1.596
237             ,  200 45 37 ,   60 07 05,      4.933,      0.000,      0.000,       -1.516,       -3.999,      2.458
238             ,  195 35 37 ,   52 10 18,      5.250,      0.000,      0.000,       -1.115,       -3.994,      3.220
239             ,  201 28 44 ,   46 14 57,      5.911,      0.000,      0.000,       -1.563,       -3.973,      4.088
240             ,  195 27 58 ,   36 54 06,      6.849,      0.000,      0.000,       -1.097,       -3.964,      5.477
241             ,  200 44 58 ,   32 54 40,      7.763,      0.000,      0.000,       -1.494,       -3.944,      6.517
242             ,  194 39 58 ,   27 40 34,      8.757,      0.000,      0.000,       -1.030,       -3.935,      7.756
243             ,  214 15 57 ,   32 53 17,      8.754,      0.000,      0.000,       -2.676,       -3.929,      7.351
244             ,  217 15 06 ,   38 29 26,      7.952,      0.000,      0.000,       -2.996,       -3.940,      6.224
245             ,  213 58 39 ,   42 13 02,      7.094,      0.000,      0.000,       -2.664,       -3.953,      5.254
246             ,  217 22 07 ,   49 54 31,      6.503,      0.000,      0.000,       -3.019,       -3.954,      4.188
247             ,  213 26 52 ,   55 57 02,      5.750,      0.000,      0.000,       -2.626,       -3.975,      3.219
248             ,  217 58 46 ,   68 17 17,      5.429,      0.000,      0.000,       -3.104,       -3.976,      2.008
249             ,  213 27 14 ,   77 14 13,      4.915,      0.000,      0.000,       -2.643,       -4.000,      1.086
