   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
163             ,  227 12 39 ,   73 14 22,      1.797,      0.000,      0.000,       -1.263,       -1.169,      0.518
164             ,  248 06 54 ,   69 46 08,      1.585,      0.000,      0.000,       -1.380,       -0.554,      0.548
165             ,  244 13 21 ,   96 02 50,      1.363,      0.000,      0.000,       -1.221,       -0.589,     -0.144
166             ,  263 37 09 ,   70 14 28,      1.540,      0.000,      0.000,       -1.441,       -0.161,      0.521
167             ,  262 13 36 ,   94 05 52,      1.339,      0.000,      0.000,       -1.323,       -0.181,     -0.096
168             ,  256 48 02 ,   84 34 27,      1.390,      0.000,      0.000,       -1.348,       -0.316,      0.131
169             ,  272 32 04 ,   75 35 31,      1.503,      0.000,      0.000,       -1.455,        0.064,      0.374
170             ,  285 25 48 ,   75 32 48,      1.623,      0.000,      0.000,       -1.515,        0.418,      0.405
171             ,  294 44 31 ,   75 55 27,      1.768,      0.000,      0.000,       -1.557,        0.718,      0.430
172             ,  302 21 52 ,   77 57 26,      1.927,      0.000,      0.000,       -1.591,        1.009,      0.402
173             ,  312 10 07 ,   79 41 14,      2.257,      0.000,      0.000,       -1.645,        1.490,      0.404
174             ,  314 29 16 ,   92 45 11,      2.264,      0.000,      0.000,       -1.614,        1.585,     -0.109
175             ,  310 08 17 ,   93 23 37,      2.070,      0.000,      0.000,       -1.580,        1.332,     -0.123
176             ,  302 39 09 ,   92 41 55,      1.819,      0.000,      0.000,       -1.530,        0.981,     -0.086
177             ,  295 02 03 ,   92 42 04,      1.639,      0.000,      0.000,       -1.484,        0.693,     -0.077
178             ,  285 26 48 ,   92 42 03,      1.488,      0.000,      0.000,       -1.432,        0.396,     -0.070
179             ,  274 07 22 ,   92 42 03,      1.386,      0.000,      0.000,       -1.381,        0.100,     -0.065
180             ,  230 13 28 ,   40 11 03,      2.902,      0.000,      0.000,       -1.439,       -1.198,      2.217
181             ,  229 09 37 ,   50 56 23,      2.390,      0.000,      0.000,       -1.404,       -1.213,      1.506
182             ,  248 19 06 ,   35 35 02,      2.760,      0.000,      0.000,       -1.493,       -0.593,      2.245
183             ,  248 19 11 ,   49 23 33,      2.084,      0.000,      0.000,       -1.470,       -0.584,      1.356
184             ,  247 11 49 ,   68 49 17,      1.607,      0.000,      0.000,       -1.381,       -0.581,      0.581
185             ,  262 46 40 ,   34 32 20,      2.713,      0.000,      0.000,       -1.526,       -0.193,      2.235
186             ,  262 46 36 ,   46 38 37,      2.108,      0.000,      0.000,       -1.520,       -0.193,      1.447
187             ,  262 46 35 ,   68 56 07,      1.558,      0.000,      0.000,       -1.443,       -0.183,      0.560
188             ,  272 12 15 ,   35 38 11,      2.658,      0.000,      0.000,       -1.547,        0.060,      2.160
189             ,  272 12 18 ,   48 13 53,      2.075,      0.000,      0.000,       -1.546,        0.060,      1.382
190             ,  272 12 20 ,   69 14 57,      1.581,      0.000,      0.000,       -1.477,        0.057,      0.560
191             ,  293 47 22 ,   38 34 01,      2.804,      0.000,      0.000,       -1.599,        0.705,      2.192
192             ,  293 19 43 ,   51 32 33,      2.235,      0.000,      0.000,       -1.607,        0.693,      1.390
193             ,  293 20 12 ,   73 07 50,      1.776,      0.000,      0.000,       -1.560,        0.673,      0.515
194             ,  312 06 38 ,   77 02 08,      2.285,      0.000,      0.000,       -1.652,        1.493,      0.513
195             ,  310 25 05 ,   57 40 17,      2.587,      0.000,      0.000,       -1.664,        1.417,      1.384
196             ,  310 25 05 ,   45 14 45,      3.057,      0.000,      0.000,       -1.653,        1.408,      2.153
197             ,  359 57 20 ,   90 12 03,      1.752,      0.000,      0.000,       -0.001,        1.752,     -0.006
198             ,  179 53 53 ,   11 02 54,      4.398,      0.000,      0.000,        0.001,       -0.843,      4.317
199             ,  125 56 34 ,   16 25 16,      3.692,      0.000,      0.000,        0.845,       -0.613,      3.541
200             ,  214 12 20 ,   24 20 40,      3.385,      0.000,      0.000,       -0.784,       -1.154,      3.084
